tenant,project_name,job_name,automation_file_name
#main,Samsung Catalog,Universal Webhook,universalWebhook.js
#main,demo-automation,Test JOB (DEV),test.js
#main,Samsung Report,Send Exhange Rate - Currency Layer,oldExchangeRate.js
#main,Samsung Report,Send Exchange Rate to Queue,sendExchangeRateTOQueue.js
#main,Samsung <> SEASAUY,Date,test.js
#main,Samsung Report,Send Exchange Rate to Queue - Today,sendExchangeRateTOQueue.js
#main,Samsung Catalog,Create products and skus Samsung.com,create-products-samsungapi.js
#main,Samsung Catalog,Find Description,findDescription.js
#main,demo-automation,Test JOB (PROD),test.js
Advanced payment Homolog Brazil brtests,SAP <> Vtex,retry-create-order-at-sap,create-order-at-sap.js
Advanced payment Homolog Brazil brtests,SAP <> Vtex,reverse-advanced-payment,create-reversion-advanced-payment-at-sap.js
Argentina,Samsung Catalog,BulkApi,getAllSkusHttp.js
Argentina,Samsung Report,[Data Lake] [RMQ] Send Orders to Feed,sendFeedOrdersToQueue.js
Argentina,Samsung SDAP-LA Automations,master-data-management,master-data-managment.js
Argentina,Samsung-Ecommerce-Analytics,[Data Lake] [RMQ] Vtex SKU,sendAllVtexSkusToQueue.js
Argentina,Samsung Report,[Data Lake] [RMQ] Incomplete Orders,sendIncompleteOrdersToFeed.js
Argentina,Samsung Report,[Data Lake] [RMQ] Send Orders already invoiced,sendOrderDeliveryDate.js
Argentina,Samsung Report,validate Database Insertion,validateDataBaseInsertion.js
Argentina,Samsung-Ecommerce-Analytics,[Data Lake] [RMQ] SSG SKU,sendAllSkusSSGToQueue.js
Argentina,Samsung Report,[Data Lake] [RMQ] Send Orders Delivery Date,sendOrderDeliveryDate.js
Argentina,Samsung-Ecommerce-Analytics,Master Data - Update Customer Name,updateCustomerName.js
Argentina,Samsung-Ecommerce-Analytics,[Data Lake] [RMQ] Customers,sendAllCustomersToQueue.js
Argentina,Samsung AVISE-ME,[CDM] - Send AVISE-ME,generateCSV.js
Argentina,Samsung Catalog,CDM Generate File ,generateCDMCSV.js
Argentina,Samsung Report,Send Report Problem In Order Payment,sendReportProblemInPayment.js
Argentina,Samsung SDAP-LA Automations,retry-master-data-management,master-data-managment.js
Argentina,Samsung CDM Reports,SKU Report Argentina,skuReport.js
Argentina,Samsung-BI,Send VTEX Customers To MongoDB,save-vtex-customers.js
Argentina,Samsung Checkout,SSG Checkout,products-automation.js
Argentina,Enablers BI,Samsung [AR] Enablers BI SSG,order-samsung-care.js
Brazil,Samsung Catalog,BulkApi,getAllSkusHttp.js
Brazil,Samsung Report,[Data Lake] [RMQ] Send Orders Delivery Date,sendOrderDeliveryDate.js
Brazil,Samsung Report,[Data Lake] [RMQ] Incomplete Orders,sendIncompleteOrdersToFeed.js
Brazil,Samsung-Ecommerce-Analytics,[Data Lake] [RMQ] SSG.com SKUs,sendAllSkusSSGToQueue.js
Brazil,Samsung-Ecommerce-Analytics,[Data Lake] [RMQ] Vtex SKU Migration,sendAllVtexSkusToQueue.js
Brazil,Samsung-Ecommerce-Analytics,[Data Lake] [RMQ] Customers,sendAllCustomersToQueue.js
Brazil,Samsung Batch,Expired Orders Report,sendExpiredOrdersEmail.js
Brazil,Samsung Catalog,CDM - Generate Campaign Files,generateCampaignCDMCSV.js
Brazil,Samsung AVISE-ME,Avise-me,generateCSV.js
Brazil,Samsung-BI,Send VTEX Customers To MongoDB,save-vtex-customers.js
Brazil,Samsung Report,Retry feed orders,retryFeedOrdersAndSendToQueueList.js
Brazil,Samsung TradeIn,Retry Price 100,retry.js
Brazil,Samsung TradeIn,Retry-order-flow,order-flow.js
Brazil,Samsung TradeIn,Retry- Send confirmation orders to  trocafone,retry-send-delivered-orders-confirmation.js
Brazil,Samsung TradeIn,Retry - Approve TradeIn Orders,authorizeOrders.js
